2020-06-11 19:38:52 startup packages remove
2020-06-11 19:38:52 status installed linux-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 remove linux-virtual:amd64 4.15.0.106.94 <none>
2020-06-11 19:38:52 status half-configured linux-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status half-installed linux-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status not-installed linux-virtual:amd64 <none>
2020-06-11 19:38:52 status installed linux-headers-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 remove linux-headers-virtual:amd64 4.15.0.106.94 <none>
2020-06-11 19:38:52 status half-configured linux-headers-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status half-installed linux-headers-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-headers-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-headers-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-headers-virtual:amd64 4.15.0.106.94
2020-06-11 19:38:52 status not-installed linux-headers-virtual:amd64 <none>
2020-06-11 19:38:52 status installed linux-headers-generic:amd64 4.15.0.106.94
2020-06-11 19:38:52 remove linux-headers-generic:amd64 4.15.0.106.94 <none>
2020-06-11 19:38:52 status half-configured linux-headers-generic:amd64 4.15.0.106.94
2020-06-11 19:38:52 status half-installed linux-headers-generic:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-headers-generic:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-headers-generic:amd64 4.15.0.106.94
2020-06-11 19:38:52 status config-files linux-headers-generic:amd64 4.15.0.106.94
2020-06-11 19:38:52 status not-installed linux-headers-generic:amd64 <none>
2020-06-11 19:38:52 status installed linux-headers-4.15.0-106-generic:amd64 4.15.0-106.107
2020-06-11 19:38:52 remove linux-headers-4.15.0-106-generic:amd64 4.15.0-106.107 <none>
2020-06-11 19:38:52 status half-configured linux-headers-4.15.0-106-generic:amd64 4.15.0-106.107
2020-06-11 19:38:52 status half-installed linux-headers-4.15.0-106-generic:amd64 4.15.0-106.107
2020-06-11 19:38:52 status config-files linux-headers-4.15.0-106-generic:amd64 4.15.0-106.107
